route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
1,NFTA,1,1 - WILLIAM,http://www.nfta.com/1,1 - WILLIAM,3,005B95 ,FFFFFF,
2,NFTA,2,2 - CLINTON,http://www.nfta.com/2,2 - CLINTON,3,005B95 ,FFFFFF,
3,NFTA,3,3 - GRANT,http://www.nfta.com/3,3 - GRANT,3,005B95 ,FFFFFF,
4,NFTA,4,4 - BROADWAY,http://www.nfta.com/4,4 - BROADWAY,3,BF2B45 ,FFFFFF,
5,NFTA,5,5 - NIAGARA-KENMORE,http://www.nfta.com/5,5 - NIAGARA-KENMORE,3,005B95 ,FFFFFF,
6,NFTA,6,6 - SYCAMORE,http://www.nfta.com/6,6 - SYCAMORE,3,005B95 ,FFFFFF,
8,NFTA,8,8 - MAIN,http://www.nfta.com/8,8 - MAIN,3,005B95 ,FFFFFF,
11,NFTA,11,11 - COLVIN,http://www.nfta.com/11,11 - COLVIN,3,005B95 ,FFFFFF,
12,NFTA,12,12 - UTICA,http://www.nfta.com/12,12 - UTICA,3,005B95 ,FFFFFF,
13,NFTA,13,13 - KENSINGTON,http://www.nfta.com/13,13 - KENSINGTON,3,005B95 ,FFFFFF,
14,NFTA,14,14 - ABBOTT,http://www.nfta.com/14,14 - ABBOTT,3,005B95 ,FFFFFF,
15,NFTA,15,15 - SENECA,http://www.nfta.com/15,15 - SENECA,3,005B95 ,FFFFFF,
16,NFTA,16,16 - SOUTH PARK,http://www.nfta.com/16,16 - SOUTH PARK,3,005B95 ,FFFFFF,
18,NFTA,18,18 - JEFFERSON,http://www.nfta.com/18,18 - JEFFERSON,3,005B95 ,FFFFFF,
19,NFTA,19,19 - BAILEY,http://www.nfta.com/19,19 - BAILEY,3,005B95 ,FFFFFF,
20,NFTA,20,20 - ELMWOOD,http://www.nfta.com/20,20 - ELMWOOD,3,005B95 ,FFFFFF,
21,NFTA,21,21 - ENTERTAINMENT SHUTTLE,http://www.nfta.com/21,21 - ENTERTAINMENT SHUTTLE,3,005B95 ,FFFFFF,
22,NFTA,22,22 - PORTER-BEST,http://www.nfta.com/22,22 - PORTER-BEST,3,005B95 ,FFFFFF,
23,NFTA,23,23 - FILLMORE-HERTEL,http://www.nfta.com/23,23 - FILLMORE-HERTEL,3,005B95 ,FFFFFF,
24,NFTA,24,24 - GENESEE,http://www.nfta.com/24,24 - GENESEE,3,005B95 ,FFFFFF,
25,NFTA,25,25 - DELAWARE,http://www.nfta.com/25,25 - DELAWARE,3,005B95 ,FFFFFF,
26,NFTA,26,26 - DELAVAN,http://www.nfta.com/26,26 - DELAVAN,3,BF2B45 ,FFFFFF,
32,NFTA,32,32 - AMHERST,http://www.nfta.com/32,32 - AMHERST,3,005B95 ,FFFFFF,
34,NFTA,34,34 - NIAGARA FALLS BLVD.,http://www.nfta.com/34,34 - NIAGARA FALLS BLVD.,3,005B95 ,FFFFFF,
35,NFTA,35,35 - SHERIDAN,http://www.nfta.com/35,35 - SHERIDAN,3,005B95 ,FFFFFF,
36,NFTA,36,36 - HAMBURG,http://www.nfta.com/36,36 - HAMBURG,3,005B95 ,FFFFFF,
40,NFTA,40,40 - BUFFALO-NIAGARA FALLS,http://www.nfta.com/40,40 - BUFFALO-NIAGARA FALLS,3,005B95 ,FFFFFF,
42,NFTA,42,42 - LACKAWANNA,http://www.nfta.com/42,42 - LACKAWANNA,3,005B95 ,FFFFFF,
44,NFTA,44,44 - LOCKPORT,http://www.nfta.com/44,44 - LOCKPORT,3,005B95 ,FFFFFF,
46,NFTA,46,46 - LANCASTER,http://www.nfta.com/46,46 - LANCASTER,3,005B95 ,FFFFFF,
47,NFTA,47,47 - WEHRLE,http://www.nfta.com/47,47 - WEHRLE,3,005B95 ,FFFFFF,
48,NFTA,48,48 - WILLIAMSVILLE,http://www.nfta.com/48,48 - WILLIAMSVILLE,3,005B95 ,FFFFFF,
49,NFTA,49,49 - EAST AMHERST,http://www.nfta.com/49,49 - EAST AMHERST,3,005B95 ,FFFFFF,
50,NFTA,50,50 - MAIN - NIAGARA,http://www.nfta.com/50,50 - MAIN - NIAGARA,3,BF2B45 ,FFFFFF,
52,NFTA,52,52 - NORTH END CIRCULATOR,http://www.nfta.com/52,52 - NORTH END CIRCULATOR,3,005B95 ,FFFFFF,
55,NFTA,55,55 - PINE AVENUE,http://www.nfta.com/55,55 - PINE AVENUE,3,005B95 ,FFFFFF,
59,NFTA,59,59 - NIAGARA FALLS AIRPORT - NCCC,http://www.nfta.com/59,59 - NIAGARA FALLS AIRPORT - NCCC,3,005B95 ,FFFFFF,
60,NFTA,60,60 - NIAGARA FALLS EXPRESS,http://www.nfta.com/60,60 - NIAGARA FALLS EXPRESS,3,005B95 ,FFFFFF,
61,NFTA,61,61 - TONAWANDA EXPRESS,http://www.nfta.com/61,61 - TONAWANDA EXPRESS,3,005B95 ,FFFFFF,
64,NFTA,64,64 - LOCKPORT EXPRESS,http://www.nfta.com/64,64 - LOCKPORT EXPRESS,3,005B95 ,FFFFFF,
66,NFTA,66,66 - WILLIAMSVILLE EXPRESS,http://www.nfta.com/66,66 - WILLIAMSVILLE EXPRESS,3,005B95 ,FFFFFF,
67,NFTA,67,67 - CLEVELAND HILL EXPRESS,http://www.nfta.com/67,67 - CLEVELAND HILL EXPRESS,3,005B95 ,FFFFFF,
69,NFTA,69,69 - LANCASTER EXPRESS,http://www.nfta.com/69,69 - LANCASTER EXPRESS,3,666666,FFFFFF,
70,NFTA,70,70 - EAST AURORA EXPRESS,http://www.nfta.com/70,70 - EAST AURORA EXPRESS,3,BF2B45 ,FFFFFF,
72,NFTA,72,72 - ORCHARD PARK EXPRESS,http://www.nfta.com/72,72 - ORCHARD PARK EXPRESS,3,B49A36 ,FFFFFF,
74,NFTA,74,74 - HAMBURG EXPRESS,http://www.nfta.com/74,74 - HAMBURG EXPRESS,3,B49A36 ,FFFFFF,
76,NFTA,76,76 - LAKESHORE EXPRESS,http://www.nfta.com/76,76 - LAKESHORE EXPRESS,3,437C93 ,FFFFFF,
77,NFTA,77,77 - BUFFALO-NIAGARA FALLS EXPRESS,http://www.nfta.com/77,77 - BUFFALO-NIAGARA FALLS EXPRESS,3,A96614,FFFFFF,
81,NFTA,81,81 - EASTSIDE EXPRESS,http://www.nfta.com/81,81 - EASTSIDE EXPRESS,3,942D83 ,FFFFFF,
101,NFTA,101,101 - NORTH-SOUTH,http://www.nfta.com/101,101 - NORTH-SOUTH,3,FFD600 ,FFFFFF,
102,NFTA,102,102 - BAILEY EAST,http://www.nfta.com/102,102 - BAILEY EAST,3,BF2B45 ,FFFFFF,
103,NFTA,103,103 - EAST-SUBURBAN,http://www.nfta.com/103,103 - EAST-SUBURBAN,3,BF2B45 ,FFFFFF,
104,NFTA,104,104 - SOUTH-CENTRAL,http://www.nfta.com/104,104 - SOUTH-CENTRAL,3,BF2B45 ,FFFFFF,
106,NFTA,106,106 - SOUTH-SUBURBAN,http://www.nfta.com/106,106 - SOUTH-SUBURBAN,3,B49A36 ,FFFFFF,
110,NFTA,110,110 - WEST-NORTH,http://www.nfta.com/110,110 - WEST-NORTH,3,B49A36 ,FFFFFF,
111,NFTA,111,111 - SOUTH MICHIGAN,http://www.nfta.com/111,111 - SOUTH MICHIGAN,3,A96614 ,FFFFFF,
155,NFTA,155,155 - NIAGARA FALLS TROLLEY,http://www.nfta.com/155,155 - NIAGARA FALLS TROLLEY,3,A96614,FFFFFF,
206,NFTA,206,206 - BUFFALO STATE CIRCULATOR,http://www.nfta.com/206,206 - BUFFALO STATE CIRCULATOR,3,942D83 ,FFFFFF,
