Unnamed: 0,trip_id,Pick_up_id,pick_up_time,drop_off_id,drop_off_time,walking_time,walking_distance,Num_of_Buses,total_time
0,4547728,3930,0 days 08:31:26,4100,0 days 08:32:12,0.0,0.0,1,0.7666666666666667
1975,4547728,3930,0 days 08:31:26,4080,0 days 08:32:51,0.0,0.0,1,1.4166666666666667
4097,4547728,3930,0 days 08:31:26,4125,0 days 08:33:38,0.0,0.0,1,2.2
6028,4547728,3930,0 days 08:31:26,4020,0 days 08:34:07,0.0,0.0,1,2.683333333333333
7588,4547728,3930,0 days 08:31:26,4130,0 days 08:34:40,0.0,0.0,1,3.2333333333333334
8845,4547728,3930,0 days 08:31:26,4150,0 days 08:35:39,0.0,0.0,1,4.216666666666667
9674,4547728,3930,0 days 08:31:26,4000,0 days 08:36:10,0.0,0.0,1,4.733333333333333
10444,4547728,3930,0 days 08:31:26,4160,0 days 08:36:52,0.0,0.0,1,5.433333333333334
11080,4547729,3930,0 days 09:32:26,4100,0 days 09:33:12,0.0,0.0,1,0.7666666666666667
12502,4547729,3930,0 days 09:32:26,4080,0 days 09:33:51,0.0,0.0,1,1.4166666666666667
14055,4547729,3930,0 days 09:32:26,4125,0 days 09:34:38,0.0,0.0,1,2.2
15526,4547729,3930,0 days 09:32:26,4020,0 days 09:35:07,0.0,0.0,1,2.683333333333333
16770,4547729,3930,0 days 09:32:26,4130,0 days 09:35:40,0.0,0.0,1,3.2333333333333334
17916,4547729,3930,0 days 09:32:26,4150,0 days 09:36:39,0.0,0.0,1,4.216666666666667
18742,4547729,3930,0 days 09:32:26,4000,0 days 09:37:10,0.0,0.0,1,4.733333333333333
19497,4547729,3930,0 days 09:32:26,4160,0 days 09:37:52,0.0,0.0,1,5.433333333333334
20093,4547730,3930,0 days 10:41:26,4100,0 days 10:42:12,0.0,0.0,1,0.7666666666666667
21727,4547730,3930,0 days 10:41:26,4080,0 days 10:42:51,0.0,0.0,1,1.4166666666666667
23512,4547730,3930,0 days 10:41:26,4125,0 days 10:43:38,0.0,0.0,1,2.2
25221,4547730,3930,0 days 10:41:26,4020,0 days 10:44:07,0.0,0.0,1,2.683333333333333
26603,4547730,3930,0 days 10:41:26,4130,0 days 10:44:40,0.0,0.0,1,3.2333333333333334
27745,4547730,3930,0 days 10:41:26,4150,0 days 10:45:39,0.0,0.0,1,4.216666666666667
28508,4547730,3930,0 days 10:41:26,4000,0 days 10:46:10,0.0,0.0,1,4.733333333333333
29238,4547730,3930,0 days 10:41:26,4160,0 days 10:46:52,0.0,0.0,1,5.433333333333334
29832,4547731,3930,0 days 11:36:30,4100,0 days 11:37:22,0.0,0.0,1,0.8666666666666667
31349,4547731,3930,0 days 11:36:30,4080,0 days 11:38:07,0.0,0.0,1,1.6166666666666667
33018,4547731,3930,0 days 11:36:30,4125,0 days 11:39:00,0.0,0.0,1,2.5
34584,4547731,3930,0 days 11:36:30,4020,0 days 11:39:34,0.0,0.0,1,3.066666666666667
35886,4547731,3930,0 days 11:36:30,4130,0 days 11:40:12,0.0,0.0,1,3.7
36996,4547731,3930,0 days 11:36:30,4150,0 days 11:41:18,0.0,0.0,1,4.8
37752,4547731,3930,0 days 11:36:30,4000,0 days 11:41:55,0.0,0.0,1,5.416666666666667
38451,4547731,3930,0 days 11:36:30,4160,0 days 11:42:43,0.0,0.0,1,6.216666666666667
39045,4547732,3930,0 days 12:36:30,4100,0 days 12:37:22,0.0,0.0,1,0.8666666666666667
40616,4547732,3930,0 days 12:36:30,4080,0 days 12:38:07,0.0,0.0,1,1.6166666666666667
42334,4547732,3930,0 days 12:36:30,4125,0 days 12:39:00,0.0,0.0,1,2.5
43938,4547732,3930,0 days 12:36:30,4020,0 days 12:39:34,0.0,0.0,1,3.066666666666667
45230,4547732,3930,0 days 12:36:30,4130,0 days 12:40:12,0.0,0.0,1,3.7
46428,4547732,3930,0 days 12:36:30,4150,0 days 12:41:18,0.0,0.0,1,4.8
47312,4547732,3930,0 days 12:36:30,4000,0 days 12:41:55,0.0,0.0,1,5.416666666666667
48127,4547732,3930,0 days 12:36:30,4160,0 days 12:42:43,0.0,0.0,1,6.216666666666667
48761,4547733,3930,0 days 13:36:30,4100,0 days 13:37:22,0.0,0.0,1,0.8666666666666667
50363,4547733,3930,0 days 13:36:30,4080,0 days 13:38:07,0.0,0.0,1,1.6166666666666667
52165,4547733,3930,0 days 13:36:30,4125,0 days 13:39:00,0.0,0.0,1,2.5
53876,4547733,3930,0 days 13:36:30,4020,0 days 13:39:34,0.0,0.0,1,3.066666666666667
55352,4547733,3930,0 days 13:36:30,4130,0 days 13:40:12,0.0,0.0,1,3.7
56590,4547733,3930,0 days 13:36:30,4150,0 days 13:41:18,0.0,0.0,1,4.8
57353,4547733,3930,0 days 13:36:30,4000,0 days 13:41:55,0.0,0.0,1,5.416666666666667
58097,4547733,3930,0 days 13:36:30,4160,0 days 13:42:43,0.0,0.0,1,6.216666666666667
58692,4547734,3930,0 days 14:36:30,4100,0 days 14:37:22,0.0,0.0,1,0.8666666666666667
60882,4547734,3930,0 days 14:36:30,4080,0 days 14:38:07,0.0,0.0,1,1.6166666666666667
63239,4547734,3930,0 days 14:36:30,4125,0 days 14:39:00,0.0,0.0,1,2.5
65401,4547734,3930,0 days 14:36:30,4020,0 days 14:39:34,0.0,0.0,1,3.066666666666667
67197,4547734,3930,0 days 14:36:30,4130,0 days 14:40:12,0.0,0.0,1,3.7
68751,4547734,3930,0 days 14:36:30,4150,0 days 14:41:18,0.0,0.0,1,4.8
69842,4547734,3930,0 days 14:36:30,4000,0 days 14:41:55,0.0,0.0,1,5.416666666666667
70831,4547734,3930,0 days 14:36:30,4160,0 days 14:42:43,0.0,0.0,1,6.216666666666667
