name,block_id,lat,lon,neighborhood,point_type
1,mp11,42.914632,-78.86417198,Masten Park,interior
2,mp12,42.91460942,-78.86298376,Masten Park,interior
3,mp13,42.91459273,-78.86092651,Masten Park,interior
4,mp14,42.91459135,-78.85904092,Masten Park,interior
5,mp15,42.91458153,-78.85810214,Masten Park,interior
6,mp16,42.9145833,-78.85718671,Masten Park,interior
7,mp17,42.91457295,-78.85626644,Masten Park,interior
8,mp18,42.91454493,-78.85535422,Masten Park,interior
9,mp19,42.91445754,-78.85445032,Masten Park,interior
10,mp21,42.91320771,-78.86445254,Masten Park,interior
11,mp22,42.91318807,-78.86301488,Masten Park,interior
12,mp23,42.91354021,-78.86094475,Masten Park,interior
13,mp24,42.91281513,-78.86095575,Masten Park,interior
14,mp25,42.91315096,-78.85907498,Masten Park,interior
15,mp26,42.91314934,-78.85813996,Masten Park,interior
16,mp27,42.91313716,-78.85721272,Masten Park,interior
17,mp28,42.91313166,-78.85630158,Masten Park,interior
18,mp29,42.91311988,-78.85537756,Masten Park,interior
19,mp210,42.91310986,-78.85446131,Masten Park,interior
20,mp31,42.91184228,-78.86405987,Masten Park,interior
21,mp32,42.91181457,-78.86099115,Masten Park,interior
22,mp33,42.91178294,-78.85816678,Masten Park,interior
23,mp34,42.91176049,-78.85630935,Masten Park,interior
24,mp35,42.91175459,-78.85541242,Masten Park,interior
25,mp36,42.91199915,-78.85447794,Masten Park,interior
26,mp37,42.91139329,-78.85447526,Masten Park,interior
27,mp41,42.91075194,-78.86427122,Masten Park,interior
28,mp42,42.91068967,-78.86100805,Masten Park,interior
29,mp43,42.91065549,-78.85821372,Masten Park,interior
30,mp44,42.91086859,-78.85541269,Masten Park,interior
31,mp45,42.91036384,-78.85541671,Masten Park,interior
32,mp51,42.9098964,-78.86441284,Masten Park,interior
33,mp52,42.90984113,-78.86103246,Masten Park,interior
34,mp53,42.90978515,-78.85681146,Masten Park,interior
35,mp61,42.90859487,-78.86585319,Masten Park,interior
36,mp62,42.90856329,-78.86427686,Masten Park,interior
37,mp63,42.90854365,-78.8630873,Masten Park,interior
38,mp64,42.90897377,-78.86104345,Masten Park,interior
39,mp65,42.9079992,-78.86106786,Masten Park,interior
40,mp66,42.90891053,-78.85681173,Masten Park,interior
41,mp67,42.90794421,-78.85682166,Masten Park,interior
42,mp71,42.90709989,-78.86620536,Masten Park,interior
43,mp72,42.90715666,-78.86377931,Masten Park,interior
44,mp73,42.90711698,-78.86108717,Masten Park,interior
45,mp74,42.90704922,-78.85683507,Masten Park,interior
46,mp81,42.90618079,-78.86650068,Masten Park,interior
47,mp82,42.90624344,-78.86393514,Masten Park,interior
48,mp83,42.9062018,-78.86110353,Masten Park,interior
49,mp84,42.9061421,-78.85684472,Masten Park,interior
50,mp91,42.905047,-78.86686867,Masten Park,interior
51,mp92,42.90532199,-78.86409259,Masten Park,interior
52,mp93,42.90443421,-78.86427015,Masten Park,interior
53,mp94,42.90529452,-78.86112285,Masten Park,interior
54,mp95,42.90438145,-78.86114216,Masten Park,interior
55,mp96,42.90478746,-78.85686994,Masten Park,interior
