route_id,direction_id,direction
1,0,Inbound
1,1,Outbound
2,0,Inbound
2,1,Outbound
3,0,Inbound
3,1,Outbound
4,0,Inbound
4,1,Outbound
5,0,Inbound
5,1,Outbound
6,0,Inbound
6,1,Outbound
8,0,Inbound
8,1,Outbound
11,0,Inbound
11,1,Outbound
12,0,Inbound
12,1,Outbound
13,0,Inbound
13,1,Outbound
14,0,Inbound
14,1,Outbound
15,0,Inbound
15,1,Outbound
16,0,Inbound
16,1,Outbound
18,0,Inbound
18,1,Outbound
19,0,Inbound
19,1,Outbound
20,0,Inbound
20,1,Outbound
21,0,Inbound
21,1,Outbound
22,0,Inbound
22,1,Outbound
23,0,Inbound
23,1,Outbound
24,0,Inbound
24,1,Outbound
25,0,Inbound
25,1,Outbound
26,0,Inbound
26,1,Outbound
32,0,Inbound
32,1,Outbound
34,0,Inbound
34,1,Outbound
35,0,Inbound
35,1,Outbound
36,0,Inbound
36,1,Outbound
40,0,Inbound
40,1,Outbound
42,0,Inbound
42,1,Outbound
44,0,Inbound
44,1,Outbound
46,0,Inbound
46,1,DEADHEAD
47,0,Inbound
47,1,Outbound
48,0,Inbound
48,1,Outbound
49,0,Inbound
49,1,Outbound
50,0,Inbound
50,1,Outbound
52,0,Inbound
52,1,Outbound
55,0,Inbound
55,1,Outbound
59,0,Inbound
59,1,Outbound
60,0,Inbound
60,1,Outbound
61,0,Inbound
61,1,Outbound
64,0,Inbound
64,1,Outbound
66,0,Inbound
66,1,Outbound
67,0,Inbound
67,1,Outbound
69,0,Inbound
69,1,Outbound
70,0,Inbound
70,1,Outbound
72,0,Inbound
72,1,Outbound
74,0,Inbound
74,1,Outbound
76,0,Inbound
76,1,Outbound
77,0,Inbound
77,1,Outbound
81,0,Inbound
81,1,DEADHEAD
101,0,Inbound
101,1,Outbound
102,0,DEADHEAD
102,1,Outbound
103,0,Inbound
103,1,Outbound
104,0,DEADHEAD
104,1,Outbound
106,0,Inbound
106,1,Outbound
110,0,DEADHEAD
110,1,Outbound
111,0,Inbound
111,1,Outbound
155,0,Inbound
155,1,Outbound
206,0,Inbound
206,1,Outbound
