route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
40,6,4546548,40 NIAGARA FALLS,1,40002,4074,,
40,6,4546549,40 NIAGARA FALLS,1,40001,4074,,
40,6,4546550,40 BUFFALO,0,40002,4025,,
40,6,4546551,40 BUFFALO,0,50013,4025,,
40,6,4546552,40 NIAGARA FALLS,1,40002,4074,,
40,6,4546553,40 NIAGARA FALLS,1,25002,4074,,
40,6,4546554,40 NIAGARA FALLS,1,55021,4074,,
40,6,4546555,40 BUFFALO,0,40006,4025,,
40,6,4546556,40 BUFFALO,0,50016,4025,,
40,6,4546557,40 NIAGARA FALLS,1,40009,4074,,
40,6,4546558,40 BUFFALO,0,40008,4025,,
40,6,4546559,40 BUFFALO,0,40010,4025,,
40,6,4546560,40 NIAGARA FALLS,1,40010,4074,,
40,6,4546561,40 BUFFALO,0,40007,4025,,
40,6,4546562,40 NIAGARA FALLS,1,40007,4074,,
40,6,4546563,40 BUFFALO,0,40009,4025,,
40,6,4546564,40 NIAGARA FALLS,1,40010,4074,,
50,6,4546565,50 NIAGARA FALLS 50 TRANSIT CENTER,1,50012,5089,,
50,6,4546566,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50012,5044,,
50,6,4546567,50 NIAGARA FALLS 50 TRANSIT CENTER,1,50013,5089,,
50,6,4546568,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50011,5044,,
50,6,4546569,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50012,5044,,
50,6,4546570,50 NIAGARA FALLS 50 TRANSIT CENTER,1,50011,5089,,
50,6,4546571,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50013,5044,,
50,6,4546572,50 NIAGARA FALLS 50 TRANSIT CENTER,1,55019,5089,,
50,6,4546573,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50015,5044,,
50,6,4546574,50 NIAGARA FALLS 50 TRANSIT CENTER,1,50014,5089,,
50,6,4546575,50 PORTAGE ROAD 50 TRANSIT CENTER,0,55019,5044,,
50,6,4546576,50 NIAGARA FALLS 50 TRANSIT CENTER,1,55021,5089,,
50,6,4546577,50 PORTAGE ROAD 50 TRANSIT CENTER,0,50014,5044,,
50,6,4546578,50 NIAGARA FALLS 50 TRANSIT CENTER,1,55020,5089,,
50,6,4546579,50 PORTAGE ROAD 50 TRANSIT CENTER,0,35004,5044,,
50,6,4546580,50 NIAGARA FALLS 50 TRANSIT CENTER,1,40007,5089,,
55,6,4546581,55 NIAGARA FALLS 55 TRANSIT CENTER,1,55019,842,,
55,6,4546582,55 NIAGARA FALLS 55 TRANSIT CENTER,1,55019,842,,
55,6,4546583,55 PORTAGE ROAD 55 TRANSIT CENTER,0,55020,841,,
55,6,4546584,55 NIAGARA FALLS 55 TRANSIT CENTER,1,55020,842,,
55,6,4546585,55 PORTAGE ROAD 55 TRANSIT CENTER,0,55020,841,,
55,6,4546586,55 NIAGARA FALLS 55 TRANSIT CENTER,1,55019,842,,
55,6,4546587,55 PORTAGE ROAD 55 TRANSIT CENTER,0,55021,841,,
55,6,4546588,55 NIAGARA FALLS 55 TRANSIT CENTER,1,52018,842,,
